base_depth,open_lifts,open_trails,resort_name,snowfall_24h,total_lifts,total_trails
21.0,5.0,27.0,Ski Granby Ranch,3.0,5.0,42.0
42.0,22.0,151.0,Steamboat,5.0,23.0,184.0
21.0,3.0,46.0,Sunlight Mountain Resort,0.0,3.0,75.0
33.0,16.0,72.0,Telluride,7.0,17.0,147.0
36.0,26.0,212.0,Vail,3.0,33.0,278.0
39.0,23.0,129.0,Winter Park,5.0,25.0,171.0
44.0,10.0,144.0,Wolf Creek Ski Area,1.0,11.0,144.0
13.0,8.0,23.0,Arizona Snowbowl,0.0,8.0,61.0
15.0,3.0,7.0,Sunrise Park Resort,0.0,8.0,65.0
55.0,7.0,34.0,Boreal Mountain Resort,0.0,7.0,34.0
2.5,7.0,51.0,Dodge Ridge,7.0,10.0,71.0
40.0,4.0,,Donner Ski Ranch,0.0,8.0,52.0
20.0,21.0,72.0,Heavenly,0.0,27.0,114.0
21.5,,24.0,June Mountain,2.0,,42.0
41.5,12.0,76.0,Kirkwood,0.0,13.0,76.0
56.0,23.0,156.0,Mammoth Mountain,0.0,24.0,178.0
35.0,7.0,25.0,Alyeska Resort,0.0,7.0,76.0
14.0,1.0,2.0,Eaglecrest Ski Area,0.0,4.0,37.0
,,,Hilltop Ski Area,,,
14.0,5.0,5.0,Mountain High,0.0,14.0,59.0
25.0,1.0,,Mt. Baldy,0.0,4.0,26.0
74.0,4.0,38.0,Mt. Shasta Ski Park,1.0,6.0,38.0
42.5,18.0,85.0,Northstar California,0.0,20.0,100.0
43.5,34.0,96.0,Palisades Tahoe,0.0,36.0,270.0
41.0,6.0,33.0,Sierra-at-Tahoe,0.0,14.0,47.0
40.0,8.0,30.0,Ski China Peak,0.0,11.0,54.0
30.0,4.0,,Snow Summit,0.0,10.0,33.0
18.0,3.0,,Snow Valley,0.0,9.0,32.0
45.0,6.0,18.0,Soda Springs,0.0,6.0,19.0
58.0,11.0,90.0,Sugar Bowl Resort,0.0,12.0,105.0
18.0,4.0,8.0,Tahoe Donner,5.0,5.0,17.0
,,,Bear Valley,,,
33.0,4.0,12.0,"Black Mountain, New Hampshire",0.0,5.0,68.0
58.0,9.0,91.0,"Bogus Basin, Idaho",7.0,10.0,91.0
40.0,5.0,25.0,"Caberfae Peaks, Michigan",0.0,5.0,30.0
26.0,4.0,43.0,"Cooper, Colorado",2.0,5.0,64.0
42.0,8.0,44.0,"Crystal Mountain, MI, Michigan",0.0,8.0,59.0
25.0,4.0,,"Eagle Point, Utah",0.0,5.0,40.0
14.0,1.0,2.0,"Eaglecrest Ski Area, Alaska",0.0,4.0,37.0
26.0,9.0,16.0,"Little Switzerland, Wisconsin",0.0,9.0,16.0
,3.0,14.0,"Lost Valley, Maine",0.0,4.0,31.0
21.0,7.0,14.0,"Mount Southington Ski Area, Connecticut",0.0,7.0,14.0
46.0,6.0,49.0,"Mt. Spokane Ski and Snowboard Park, Washington",5.0,8.0,55.0
28.0,7.0,12.0,"Nordic Mountain, Wisconsin",0.0,7.0,12.0
24.0,6.0,22.0,"Red River, New Mexico",1.0,7.0,64.0
21.0,3.0,46.0,"Sunlight Mountain Resort, Colorado",0.0,3.0,75.0
,3.0,5.0,"Whaleback Mountain, New Hampshire",0.0,4.0,30.0
